"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","570","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginAnswerCode on postCourierLoginAnswerCode(com.example.LoginCourierTest)",""
"passed","","","661","","TestSuite","","com.example.CreateCourierTest","","sendPostRequestWithExistingLoginCourierReturnsConflict on sendPostRequestWithExistingLoginCourierReturnsConflict(com.example.CreateCourierTest)",""
"failed","","","60531","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginWithoutPasswordAnswerBody on postCourierLoginWithoutPasswordAnswerBody(com.example.LoginCourierTest)",""
"passed","","","471","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginWithoutLoginAnswerBody on postCourierLoginWithoutLoginAnswerBody(com.example.LoginCourierTest)",""
"passed","","","576","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginIncorrectLoginAnswerBody on postCourierLoginIncorrectLoginAnswerBody(com.example.LoginCourierTest)",""
"passed","","","562","","TestSuite","","com.example.CreateCourierTest","","successfulCourierCreatingReturnsCorrectBody on successfulCourierCreatingReturnsCorrectBody(com.example.CreateCourierTest)",""
"passed","","","390","","TestSuite","","com.example.CreateCourierTest","","requestWithoutLoginReturnsCorrectBodyCourier on requestWithoutLoginReturnsCorrectBodyCourier(com.example.CreateCourierTest)",""
"passed","","","475","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginWithoutLoginAnswerCode on postCourierLoginWithoutLoginAnswerCode(com.example.LoginCourierTest)",""
"passed","","","520","","TestSuite","","com.example.CreateCourierTest","","successfulCourierCreatingReturnsCorrectCode on successfulCourierCreatingReturnsCorrectCode(com.example.CreateCourierTest)",""
"failed","","","60467","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginWithoutPasswordAnswerCode on postCourierLoginWithoutPasswordAnswerCode(com.example.LoginCourierTest)",""
"passed","","","471","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginIncorrectPasswordAnswerBody on postCourierLoginIncorrectPasswordAnswerBody(com.example.LoginCourierTest)",""
"passed","","","5503","","TestSuite","","com.example.OrderListTest","","getAnotherOrderList",""
"passed","","","437","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginAnswerBody on postCourierLoginAnswerBody(com.example.LoginCourierTest)",""
"passed","","","324","","TestSuite","","com.example.CreateCourierTest","","requestWithoutPasswordReturnsCorrectBodyCourier on requestWithoutPasswordReturnsCorrectBodyCourier(com.example.CreateCourierTest)",""
"passed","","","472","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginIncorrectLoginAnswerCode on postCourierLoginIncorrectLoginAnswerCode(com.example.LoginCourierTest)",""
"passed","","","488","","TestSuite","","com.example.LoginCourierTest","","postCourierLoginIncorrectPasswordAnswerCode on postCourierLoginIncorrectPasswordAnswerCode(com.example.LoginCourierTest)",""
"failed","","","604","","TestSuite","","com.example.CreateCourierTest","","sendPostRequestWithExistingLoginCourierReturnsCorrectBody on sendPostRequestWithExistingLoginCourierReturnsCorrectBody(com.example.CreateCourierTest)",""
"passed","","","520","","TestSuite","","com.example.CreateCourierTest","","requestWithoutPasswordReturnsCorrectCodeCourier on requestWithoutPasswordReturnsCorrectCodeCourier(com.example.CreateCourierTest)",""
"passed","","","2397","","TestSuite","","com.example.OrderListTest","","getOrderList",""
"passed","","","302","","TestSuite","","com.example.CreateCourierTest","","requestWithoutLoginReturnsCorrectCodeCourier on requestWithoutLoginReturnsCorrectCodeCourier(com.example.CreateCourierTest)",""
